species	common name
Acanthochromis polyacanthus	Spiny chromis
Accipiter nisus	Eurasian sparrowhawk
Ailuropoda melanoleuca	Giant panda
Amazona collaria	Yellow-billed parrot
Amphilophus citrinellus	Midas cichlid
Amphiprion ocellaris	Clown anemonefish
Amphiprion percula	Orange clownfish
Anabas testudineus	Climbing perch
Anas platyrhynchos	Mallard
Anas platyrhynchos platyrhynchos	Duck
Anas zonorhyncha	Eastern spot-billed duck
Anolis carolinensis	Green anole
Anser brachyrhynchus	Pink-footed goose
Anser cygnoides	Swan goose
Aotus nancymaae	Ma's night monkey
Apteryx haastii	Great spotted kiwi
Apteryx owenii	Little spotted kiwi
Apteryx rowi	Okarito brown kiwi
Aquila chrysaetos chrysaetos	Golden eagle
Astatotilapia calliptera	Eastern happy
Astyanax mexicanus	Mexican tetra
Astyanax mexicanus pachon	Pachon cavefish
Athene cunicularia	Burrowing owl
Balaenoptera musculus	Blue whale
Betta splendens	Siamese fighting fish
Bison bison bison	American bison
Bos grunniens	Domestic yak
Bos indicus hybrid	Hybrid - Bos Indicus
Bos mutus	Wild yak
Bos taurus	Cow
Bos taurus hybrid	Hybrid - Bos Taurus
Bubo bubo	Eurasian eagle-owl
Buteo japonicus	Eastern buzzard
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758)
Cairina moschata domestica	Muscovy Duck (domestic type)
Calidris pugnax	Ruff
Calidris pygmaea	Spoon-billed sandpiper
Callithrix jacchus	White-tufted-ear marmoset
Callorhinchus milii	Elephant shark
Camarhynchus parvulus	Small tree finch
Camelus dromedarius	Arabian camel
Canis lupus dingo	Dingo
Canis lupus familiaris	Dog
Canis lupus familiarisbasenji	Dog - Basenji
Canis lupus familiarisboxer	Dog - Boxer
Canis lupus familiarisgreatdane	Dog - Great Dane
Canis lupus familiarisgsd	Dog - German Shepherd
Capra hircus	Goat
Capra hircus blackbengal	Goat (black bengal)
Carassius auratus	Goldfish
Carlito syrichta	Tarsier
Castor canadensis	American beaver
Catagonus wagneri	Chacoan peccary
Catharus ustulatus	Swainson's thrush
Cavia aperea	Brazilian guinea pig
Cavia porcellus	Guinea Pig
Cebus imitator	Panamanian white-faced capuchin
Cercocebus atys	Sooty mangabey
Cervus hanglu yarkandensis	Yarkand deer
Chelonoidis abingdonii	Abingdon island giant tortoise
Chelydra serpentina	Common snapping turtle
Chinchilla lanigera	Long-tailed chinchilla
Chlorocebus sabaeus	Vervet-AGM
Choloepus hoffmanni	Sloth
Chrysemys picta bellii	Painted turtle
Chrysolophus pictus	Golden pheasant
Ciona intestinalis	C.intestinalis
Ciona savignyi	C.savignyi
Clupea harengus	Atlantic herring
Colobus angolensis palliatus	Angola colobus
Corvus moneduloides	New Caledonian crow
Cottoperca gobio	Channel bull blenny
Coturnix japonica	Japanese quail
Cricetulus griseus chok1gshd	Chinese hamster CHOK1GS
Cricetulus griseus crigri	Chinese hamster CriGri
Cricetulus griseus picr	Chinese hamster PICR
Crocodylus porosus	Australian saltwater crocodile
Cyanistes caeruleus	Blue tit
Cyclopterus lumpus	Lumpfish
Cynoglossus semilaevis	Tongue sole
Cyprinodon variegatus	Sheepshead minnow
Cyprinus carpio carpio	Common carp
Cyprinus carpio germanmirror	Common carp german mirror
Cyprinus carpio hebaored	Common carp hebao red
Cyprinus carpio huanghe	Common carp huanghe
Danio rerio	Zebrafish
Dasypus novemcinctus	Armadillo
Delphinapterus leucas	Beluga whale
Denticeps clupeoides	Denticle herring
Dicentrarchus labrax	European seabass
Dipodomys ordii	Kangaroo rat
Dromaius novaehollandiae	Emu
Drosophila melanogaster	Drosophila melanogaster (Fruit fly)
Echeneis naucrates	Live sharksucker
Echinops telfairi	Lesser hedgehog tenrec
Electrophorus electricus	Electric eel
Eptatretus burgeri	Hagfish
Equus asinus	Donkey
Equus caballus	Horse
Erinaceus europaeus	Hedgehog
Erpetoichthys calabaricus	Reedfish
Erythrura gouldiae	Gouldian finch
Esox lucius	Northern pike
Falco tinnunculus	Common kestrel
Felis catus	Cat
Ficedula albicollis	Collared flycatcher
Fukomys damarensis	Damara mole rat
Fundulus heteroclitus	Mummichog
Gadus morhua	Atlantic cod
Gallus gallus	Chicken
Gallus gallus gca000002315v5	Chicken (Red Jungle fowl)
Gallus gallus gca016700215v2	Chicken (paternal White leghorn layer)
Gambusia affinis	Western mosquitofish
Gasterosteus aculeatus	Stickleback
Geospiza fortis	Medium ground-finch
Gopherus agassizii	Agassiz's desert tortoise
Gopherus evgoodei	Goodes thornscrub tortoise
Gorilla gorilla	Gorilla
Gouania willdenowi	Blunt-snouted clingfish
Haplochromis burtoni	Burton's mouthbrooder
Heterocephalus glaber female	Naked mole-rat female
Heterocephalus glaber male	Naked mole-rat male
Hippocampus comes	Tiger tail seahorse
Homo sapiens	Human
Hucho hucho	Huchen
Ictalurus punctatus	Channel catfish
Ictidomys tridecemlineatus	Squirrel
Jaculus jaculus	Lesser Egyptian jerboa
Junco hyemalis	Dark-eyed junco
Kryptolebias marmoratus	Mangrove rivulus
Labrus bergylta	Ballan wrasse
Larimichthys crocea	Large yellow croaker
Lates calcarifer	Barramundi perch
Laticauda laticaudata	Blue-ringed sea krait
Latimeria chalumnae	Coelacanth
Lepidothrix coronata	Blue-crowned manakin
Lepisosteus oculatus	Spotted gar
Leptobrachium leishanense	Leishan spiny toad
Lonchura striata domestica	Bengalese finch
Loxodonta africana	Elephant
Lynx canadensis	Canada lynx
